TiaGitHubHash,TiaMetaInfo,TiaVstsHash,TiaRuntime,TiaTotalTests,TiaNumberOfUnAnalyzedTests,TiaNumberofTestsPassed,TiaNumberOfTestsFailed,TiaNumberOfTestsSkipped,TiaTotalNumberOfTestRun,TiaPercentageOfTestsRun,RetestAllGitHubHash,RetestAllMetaInfo,RetestAllVstsHash,RetestAllRuntime,RetestAllTotalTests,RetestAllNumberOfUnAnalyzedTests,RetestAllNumberofTestsPassed,RetestAllNumberOfTestsFailed,RetestAllNumberOfTestsSkipped,RetestAllTotalNumberOfTestRun,RetestAllPercentageOfTestsRun,ESharpGitHubHash,ESharpMetaInfo,ESharpVstsHash,ESharpRuntime,ESharpTotalTests,ESharpNumberOfUnAnalyzedTests,ESharpNumberofTestsPassed,ESharpNumberOfTestsFailed,ESharpNumberOfTestsSkipped,ESharpTotalNumberOfTestRun,ESharpPercentageOfTestsRun
49b45d0a3700f4c22618f49b15a8dcb3061a340e,1e8137f 724 commits back from current GitHub head Hash:49b45d0a3700f4c22618f49b15a8dcb3061a340e,,37.926,750,0,399,0,0,399,0.532,49b45d0a3700f4c22618f49b15a8dcb3061a340e,1e8137f 724 commits back from current GitHub head Hash:49b45d0a3700f4c22618f49b15a8dcb3061a340e,,2.976,343,0,338,0,0,338,0.985422740524781,49b45d0a3700f4c22618f49b15a8dcb3061a340e,729_49b45d0a3700f4c22618f49b15a8dcb3061a340e_Results,,0.856,343,321,22,0,0,22,0.0641399416909621
58144605ed921ccf2a915a5159adc157965f5420,23f484f 792 commits back from current GitHub head Hash:58144605ed921ccf2a915a5159adc157965f5420,,37.103,779,0,368,0,0,368,0.472400513478819,58144605ed921ccf2a915a5159adc157965f5420,23f484f 792 commits back from current GitHub head Hash:58144605ed921ccf2a915a5159adc157965f5420,,5.576,391,0,381,0,0,381,0.974424552429668,58144605ed921ccf2a915a5159adc157965f5420,797_58144605ed921ccf2a915a5159adc157965f5420_Results,,4.172,372,61,311,0,0,311,0.836021505376344
2001cc18413bf0abe12f9a6653f0b9d677ca573d,2b122e1 717 commits back from current GitHub head Hash:2001cc18413bf0abe12f9a6653f0b9d677ca573d,,37.427,770,0,419,0,0,419,0.544155844155844,2001cc18413bf0abe12f9a6653f0b9d677ca573d,2b122e1 717 commits back from current GitHub head Hash:2001cc18413bf0abe12f9a6653f0b9d677ca573d,,4.44,363,0,358,0,0,358,0.986225895316804,2001cc18413bf0abe12f9a6653f0b9d677ca573d,722_2001cc18413bf0abe12f9a6653f0b9d677ca573d_Results,,2.279,363,211,152,0,0,152,0.418732782369146
910feb35fa02495c8c1a784493cc6a564ffd30bc,2c8a27e 754 commits back from current GitHub head Hash:910feb35fa02495c8c1a784493cc6a564ffd30bc,,36.71,730,0,378,0,0,378,0.517808219178082,910feb35fa02495c8c1a784493cc6a564ffd30bc,2c8a27e 754 commits back from current GitHub head Hash:910feb35fa02495c8c1a784493cc6a564ffd30bc,,3.557,323,0,318,0,0,318,0.984520123839009,910feb35fa02495c8c1a784493cc6a564ffd30bc,759_910feb35fa02495c8c1a784493cc6a564ffd30bc_Results,,4.174,323,24,299,0,0,299,0.925696594427245
823e44f62d5e9fa2210fa318aef7caad317e103a,2cac680 776 commits back from current GitHub head Hash:823e44f62d5e9fa2210fa318aef7caad317e103a,,36.374,782,0,372,0,0,372,0.475703324808184,823e44f62d5e9fa2210fa318aef7caad317e103a,2cac680 776 commits back from current GitHub head Hash:823e44f62d5e9fa2210fa318aef7caad317e103a,,3.15,394,0,384,0,0,384,0.974619289340102,823e44f62d5e9fa2210fa318aef7caad317e103a,781_823e44f62d5e9fa2210fa318aef7caad317e103a_Results,,0.27,375,370,5,0,0,5,0.0133333333333333
cc17e302e1a22c9e57554e44cccfc75653094edd,30f6cbf 799 commits back from current GitHub head Hash:cc17e302e1a22c9e57554e44cccfc75653094edd,,37.063,776,0,364,0,0,364,0.469072164948454,cc17e302e1a22c9e57554e44cccfc75653094edd,30f6cbf 799 commits back from current GitHub head Hash:cc17e302e1a22c9e57554e44cccfc75653094edd,,3.627,388,0,378,0,0,378,0.974226804123711,cc17e302e1a22c9e57554e44cccfc75653094edd,804_cc17e302e1a22c9e57554e44cccfc75653094edd_Results,,0.893,369,296,73,0,0,73,0.197831978319783
0c0d6b3169413fe1282c3fa7a5e9f098454a5709,33ac0a8 743 commits back from current GitHub head Hash:0c0d6b3169413fe1282c3fa7a5e9f098454a5709,,37.36,741,0,390,0,0,390,0.526315789473684,0c0d6b3169413fe1282c3fa7a5e9f098454a5709,33ac0a8 743 commits back from current GitHub head Hash:0c0d6b3169413fe1282c3fa7a5e9f098454a5709,,4.14,334,0,329,0,0,329,0.985029940119761,0c0d6b3169413fe1282c3fa7a5e9f098454a5709,748_0c0d6b3169413fe1282c3fa7a5e9f098454a5709_Results,,0,334,334,0,0,0,0,0
98e11fef7b5e03eee2b5e8bae84b0448ba3d4d2f,3684f21 791 commits back from current GitHub head Hash:98e11fef7b5e03eee2b5e8bae84b0448ba3d4d2f,,38.42,779,0,368,0,0,368,0.472400513478819,98e11fef7b5e03eee2b5e8bae84b0448ba3d4d2f,3684f21 791 commits back from current GitHub head Hash:98e11fef7b5e03eee2b5e8bae84b0448ba3d4d2f,,3.983,391,0,381,0,0,381,0.974424552429668,98e11fef7b5e03eee2b5e8bae84b0448ba3d4d2f,796_98e11fef7b5e03eee2b5e8bae84b0448ba3d4d2f_Results,,0,372,372,0,0,0,0,0
e76e75e9d2acd7e841e0f10ee26d8627f550a8d7,3750722 755 commits back from current GitHub head Hash:e76e75e9d2acd7e841e0f10ee26d8627f550a8d7,,37.066,730,0,378,0,0,378,0.517808219178082,e76e75e9d2acd7e841e0f10ee26d8627f550a8d7,3750722 755 commits back from current GitHub head Hash:e76e75e9d2acd7e841e0f10ee26d8627f550a8d7,,3.92,323,0,318,0,0,318,0.984520123839009,e76e75e9d2acd7e841e0f10ee26d8627f550a8d7,760_e76e75e9d2acd7e841e0f10ee26d8627f550a8d7_Results,,3.99,323,24,299,0,0,299,0.925696594427245
fbc4c91970fa9e1e10f9c70f9c62044f110e810b,3ca7f24 715 commits back from current GitHub head Hash:fbc4c91970fa9e1e10f9c70f9c62044f110e810b,,38.907,770,0,419,0,0,419,0.544155844155844,fbc4c91970fa9e1e10f9c70f9c62044f110e810b,3ca7f24 715 commits back from current GitHub head Hash:fbc4c91970fa9e1e10f9c70f9c62044f110e810b,,3.256,363,0,358,0,0,358,0.986225895316804,fbc4c91970fa9e1e10f9c70f9c62044f110e810b,720_fbc4c91970fa9e1e10f9c70f9c62044f110e810b_Results,,0,363,363,0,0,0,0,0
