TiaGitHubHash,TiaMetaInfo,TiaVstsHash,TiaRuntime,TiaTotalTests,TiaNumberOfUnAnalyzedTests,TiaNumberofTestsPassed,TiaNumberOfTestsFailed,TiaNumberOfTestsSkipped,TiaTotalNumberOfTestRun,TiaPercentageOfTestsRun,RetestAllGitHubHash,RetestAllMetaInfo,RetestAllVstsHash,RetestAllRuntime,RetestAllTotalTests,RetestAllNumberOfUnAnalyzedTests,RetestAllNumberofTestsPassed,RetestAllNumberOfTestsFailed,RetestAllNumberOfTestsSkipped,RetestAllTotalNumberOfTestRun,RetestAllPercentageOfTestsRun,ESharpGitHubHash,ESharpMetaInfo,ESharpVstsHash,ESharpRuntime,ESharpTotalTests,ESharpNumberOfUnAnalyzedTests,ESharpNumberofTestsPassed,ESharpNumberOfTestsFailed,ESharpNumberOfTestsSkipped,ESharpTotalNumberOfTestRun,ESharpPercentageOfTestsRun
3a19e41da7b68f326175755d7ae46c3b5eb7cd73,9ff0bff 322 commits back from current GitHub head Hash:3a19e41da7b68f326175755d7ae46c3b5eb7cd73,,18.42,228,72,156,0,0,156,0.684210526315789,3a19e41da7b68f326175755d7ae46c3b5eb7cd73,9ff0bff 322 commits back from current GitHub head Hash:3a19e41da7b68f326175755d7ae46c3b5eb7cd73,,1.987,158,0,158,0,0,158,1,3a19e41da7b68f326175755d7ae46c3b5eb7cd73,322_3a19e41da7b68f326175755d7ae46c3b5eb7cd73_Results,,3.385,158,2,156,0,0,156,0.987341772151899
9d662bc8ae1f3f7008423c85fb7640e9484a0854,a3cf37e 328 commits back from current GitHub head Hash:9d662bc8ae1f3f7008423c85fb7640e9484a0854,,14.74,130,42,88,0,0,88,0.676923076923077,9d662bc8ae1f3f7008423c85fb7640e9484a0854,a3cf37e 328 commits back from current GitHub head Hash:9d662bc8ae1f3f7008423c85fb7640e9484a0854,,2.583,92,0,92,0,0,92,1,9d662bc8ae1f3f7008423c85fb7640e9484a0854,328_9d662bc8ae1f3f7008423c85fb7640e9484a0854_Results,,1.952,92,4,88,0,0,88,0.956521739130435
b35e68975a0c806139a361688b7421a3fc7e2c0b,a5b0d6d 333 commits back from current GitHub head Hash:b35e68975a0c806139a361688b7421a3fc7e2c0b,,10.056,4,2,2,0,0,2,0.5,b35e68975a0c806139a361688b7421a3fc7e2c0b,a5b0d6d 333 commits back from current GitHub head Hash:b35e68975a0c806139a361688b7421a3fc7e2c0b,,1.494,4,0,4,0,0,4,1,b35e68975a0c806139a361688b7421a3fc7e2c0b,333_b35e68975a0c806139a361688b7421a3fc7e2c0b_Results,,0,4,4,0,0,0,0,0
3cf18818fa61c6a6f76ca7d1b7f910788ff93aee,a632ca7 254 commits back from current GitHub head Hash:3cf18818fa61c6a6f76ca7d1b7f910788ff93aee,,12.1,244,173,71,0,0,71,0.290983606557377,3cf18818fa61c6a6f76ca7d1b7f910788ff93aee,a632ca7 254 commits back from current GitHub head Hash:3cf18818fa61c6a6f76ca7d1b7f910788ff93aee,,2.62,174,0,174,0,0,174,1,3cf18818fa61c6a6f76ca7d1b7f910788ff93aee,254_3cf18818fa61c6a6f76ca7d1b7f910788ff93aee_Results,,0.066,174,173,1,0,0,1,0.00574712643678161
6f9d2cf23a30097e171ce105ab71c2dc98b564b2,a74d76b 345 commits back from current GitHub head Hash:6f9d2cf23a30097e171ce105ab71c2dc98b564b2,,1.5,4,4,0,0,0,0,0,6f9d2cf23a30097e171ce105ab71c2dc98b564b2,a74d76b 345 commits back from current GitHub head Hash:6f9d2cf23a30097e171ce105ab71c2dc98b564b2,,1.486,4,0,4,0,0,4,1,6f9d2cf23a30097e171ce105ab71c2dc98b564b2,345_6f9d2cf23a30097e171ce105ab71c2dc98b564b2_Results,,0,4,4,0,0,0,0,0
eb811a222e6d2224712ab29e3d117f08dcf0e9dc,ae34658 253 commits back from current GitHub head Hash:eb811a222e6d2224712ab29e3d117f08dcf0e9dc,,17.14,244,87,157,0,0,157,0.64344262295082,eb811a222e6d2224712ab29e3d117f08dcf0e9dc,ae34658 253 commits back from current GitHub head Hash:eb811a222e6d2224712ab29e3d117f08dcf0e9dc,,2.55,174,0,174,0,0,174,1,eb811a222e6d2224712ab29e3d117f08dcf0e9dc,253_eb811a222e6d2224712ab29e3d117f08dcf0e9dc_Results,,3.754,174,10,164,0,0,164,0.942528735632184
3d81e50ce748a14e0aa15d7eb57a3af05c7425c2,af2f54c 310 commits back from current GitHub head Hash:3d81e50ce748a14e0aa15d7eb57a3af05c7425c2,,11.987,228,158,70,0,0,70,0.307017543859649,3d81e50ce748a14e0aa15d7eb57a3af05c7425c2,af2f54c 310 commits back from current GitHub head Hash:3d81e50ce748a14e0aa15d7eb57a3af05c7425c2,,2.25,158,1,157,0,0,157,0.993670886075949,3d81e50ce748a14e0aa15d7eb57a3af05c7425c2,310_3d81e50ce748a14e0aa15d7eb57a3af05c7425c2_Results,,0.009,158,158,0,0,0,0,0
3679c22f6c0ed27437585cd932db4ff7f8a01de4,b04d531 257 commits back from current GitHub head Hash:3679c22f6c0ed27437585cd932db4ff7f8a01de4,,13.803,247,177,70,0,0,70,0.283400809716599,3679c22f6c0ed27437585cd932db4ff7f8a01de4,b04d531 257 commits back from current GitHub head Hash:3679c22f6c0ed27437585cd932db4ff7f8a01de4,,2.283,177,0,177,0,0,177,1,3679c22f6c0ed27437585cd932db4ff7f8a01de4,257_3679c22f6c0ed27437585cd932db4ff7f8a01de4_Results,,0.009,177,177,0,0,0,0,0
c566c5b1bc46183fa0bc1631085cb7d0f8bf2b26,b085cc0 330 commits back from current GitHub head Hash:c566c5b1bc46183fa0bc1631085cb7d0f8bf2b26,,1.61,4,4,0,0,0,0,0,c566c5b1bc46183fa0bc1631085cb7d0f8bf2b26,b085cc0 330 commits back from current GitHub head Hash:c566c5b1bc46183fa0bc1631085cb7d0f8bf2b26,,1.077,4,0,4,0,0,4,1,c566c5b1bc46183fa0bc1631085cb7d0f8bf2b26,330_c566c5b1bc46183fa0bc1631085cb7d0f8bf2b26_Results,,0,4,4,0,0,0,0,0
4fcc9f5eb9b2a5d0163f8419253161add6a615e6,b6037da 258 commits back from current GitHub head Hash:4fcc9f5eb9b2a5d0163f8419253161add6a615e6,,14.047,247,173,74,0,0,74,0.299595141700405,4fcc9f5eb9b2a5d0163f8419253161add6a615e6,b6037da 258 commits back from current GitHub head Hash:4fcc9f5eb9b2a5d0163f8419253161add6a615e6,,2.187,177,0,177,0,0,177,1,4fcc9f5eb9b2a5d0163f8419253161add6a615e6,258_4fcc9f5eb9b2a5d0163f8419253161add6a615e6_Results,,0.124,177,173,4,0,0,4,0.0225988700564972
